Approved Symbol	Gene family description
WARS2	Aminoacyl tRNA synthetases, Class I
YARS	Aminoacyl tRNA synthetases, Class I
YARS2	Aminoacyl tRNA synthetases, Class I
AARS	Aminoacyl tRNA synthetases, Class II
AARS2	Aminoacyl tRNA synthetases, Class II
DARS	Aminoacyl tRNA synthetases, Class II
DARS2	Aminoacyl tRNA synthetases, Class II
EPRS	Aminoacyl tRNA synthetases, Class II
FARS2	Aminoacyl tRNA synthetases, Class II
FARSA	Aminoacyl tRNA synthetases, Class II
FARSB	Aminoacyl tRNA synthetases, Class II
GARS	Aminoacyl tRNA synthetases, Class II
HARS	Aminoacyl tRNA synthetases, Class II
HARS2	Aminoacyl tRNA synthetases, Class II
KARS	Aminoacyl tRNA synthetases, Class II
NARS	Aminoacyl tRNA synthetases, Class II
NARS2	Aminoacyl tRNA synthetases, Class II
PARS2	Aminoacyl tRNA synthetases, Class II
SARS	Aminoacyl tRNA synthetases, Class II
SARS2	Aminoacyl tRNA synthetases, Class II
TARS	Aminoacyl tRNA synthetases, Class II
TARS2	Aminoacyl tRNA synthetases, Class II
ANPEP	Aminopeptidases
DNPEP	Aminopeptidases
ENPEP	Aminopeptidases
ERAP1	Aminopeptidases
ERAP2	Aminopeptidases
LAP3	Aminopeptidases
LNPEP	Aminopeptidases
METAP1	Aminopeptidases
METAP1D	Aminopeptidases
METAP2	Aminopeptidases
NPEPL1	Aminopeptidases
NPEPPS	Aminopeptidases
RNPEP	Aminopeptidases
XPNPEP1	Aminopeptidases
XPNPEP2	Aminopeptidases
XPNPEP3	Aminopeptidases
XWNPEP	Aminopeptidases
LVRN	Aminopeptidases
ANAPC1	Anaphase promoting complex 
ANAPC10	Anaphase promoting complex 
ANAPC11	Anaphase promoting complex 
ANAPC13	Anaphase promoting complex 
ANAPC15	Anaphase promoting complex 
ANAPC16	Anaphase promoting complex 
ANAPC2	Anaphase promoting complex 
ANAPC4	Anaphase promoting complex 
ANAPC5	Anaphase promoting complex 
ANAPC7	Anaphase promoting complex 
CDC16	Anaphase promoting complex 
CDC23	Anaphase promoting complex 
CDC26	Anaphase promoting complex 
CDC27	Anaphase promoting complex 
ANGPTL1	Angiopoietin like
ANGPTL2	Angiopoietin like
ANGPTL3	Angiopoietin like
ANGPTL4	Angiopoietin like
ANGPTL5	Angiopoietin like
ANGPTL6	Angiopoietin like
ANGPTL7	Angiopoietin like
ANGPTL8	Angiopoietin like
AGTR1	Angiotensin receptors
AGTR2	Angiotensin receptors
ABTB1	Ankyrin repeat domain containing
ABTB2	Ankyrin repeat domain containing
ACAP1	Ankyrin repeat domain containing
ACAP2	Ankyrin repeat domain containing
ACAP3	Ankyrin repeat domain containing
ACBD6	Ankyrin repeat domain containing
AGAP1	Ankyrin repeat domain containing
